SIZE,AVERAGE,BEST,WORST
182,8109,181,16471
154,5512,153,11781
49,524,48,1176
831,178056,830,344865
441,49404,440,97020
916,210368,915,419070
331,27326,330,54615
781,152600,780,304590
21,127,20,210
395,40217,394,77815
226,12656,225,25425
170,6988,169,14365
956,236385,955,456490
796,156909,795,316410
693,115149,692,239778
568,81780,567,161028
70,1120,69,2415
794,152262,793,314821
657,110541,656,215496
42,441,41,861
694,118533,693,240471
647,105541,646,208981
397,39660,396,78606
86,1998,85,3655
678,114164,677,229503
966,233423,965,466095
418,43583,417,87153
81,1679,80,3240
853,180353,852,363378
227,14011,226,25651
450,48996,449,101025
815,161453,814,331705
729,132396,728,265356
262,17676,261,34191
288,19481,287,41328
793,154631,792,314028
635,105860,634,201295
985,241382,984,484620
151,5668,150,11325
391,38650,390,76245
89,1867,88,3916
39,376,38,741
139,4863,138,9591
400,41148,399,79800
109,3163,108,5886
18,102,17,153
828,170499,827,342378
655,110884,654,214185
215,11599,214,23005
43,582,42,903
360,32726,359,64620
531,68691,530,140715
268,18192,267,35778
362,31147,361,65341
249,14836,248,30876
837,177928,836,349866
876,200023,875,383250
240,14675,239,28680
952,222805,951,452676
821,166999,820,336610
779,152453,778,303031
198,9817,197,19503
810,166466,809,327645
719,134267,718,258121
325,27615,324,52650
735,139305,734,269745
662,106481,661,218791
923,219920,922,425503
508,62831,507,128778
383,37404,382,73153
401,39228,400,80200
699,118427,698,243951
119,3586,118,7021
941,212837,940,442270
403,40851,402,81003
164,7163,163,13366
710,123321,709,251695
277,18435,276,38226
308,24503,307,47278
634,100555,633,200661
189,9344,188,17766
602,87315,601,180901
862,191618,861,371091
578,84887,577,166753
848,178714,847,359128
338,28589,337,56953
389,37399,388,75466
300,21678,299,44850
930,225236,929,431985
528,72331,527,139128
689,118226,688,237016
352,32113,351,61776
687,119206,686,235641
456,49479,455,103740
416,44762,415,86320
459,50150,458,105111
76,1636,75,2850
945,224574,944,446040
666,113477,665,221445
217,11483,216,23436
651,111580,650,211575
246,15534,245,30135
788,149418,787,310078
733,132843,732,268278
909,202452,908,412686
847,178912,846,358281
968,228734,967,468028
537,75058,536,143916
998,251252,997,497503
350,30719,349,61075
896,208157,895,400960
422,45745,421,88831
302,23570,301,45451
625,96531,624,195000
739,138982,738,272691
2,1,1,1
700,120521,699,244650
598,85487,597,178503
349,31078,348,60726
298,21592,297,44253
402,38068,401,80601
238,15274,237,28203
146,5202,145,10585
706,123735,705,248865
199,10284,198,19701
900,197877,899,404550
183,8438,182,16653
986,251776,985,485605
514,63943,513,131841
224,13302,223,24976
920,206804,919,422740
264,17610,263,34716
196,10210,195,19110
854,184981,853,364231
566,74284,565,159895
315,25509,314,49455
590,85178,589,173755
448,49730,447,100128
7,15,6,21
26,194,25,325
84,1862,83,3486
797,155087,796,317206
562,79272,561,157641
993,248995,992,492528
664,104695,663,220116
252,16286,251,31626
859,188894,858,368511
792,160602,791,313236
738,138396,737,271953
204,10589,203,20706
361,34052,360,64980
855,184945,854,365085
190,9100,189,17955
468,54802,467,109278
656,103932,655,214840
197,9067,196,19306
826,175306,825,340725
586,87540,585,171405
883,193820,882,389403
918,210398,917,420903
286,20626,285,40755
713,126014,712,253828
772,150739,771,297606
40,388,39,780
544,75538,543,147696
940,228672,939,441330
309,24158,308,47586
499,64875,498,124251
648,109962,647,209628
116,3546,115,6670
895,196220,894,400065
988,245073,987,487578
906,211849,905,409965
964,238019,963,464166
192,9557,191,18336
646,102595,645,208335
990,248432,989,489555
977,242292,976,476776
747,141292,746,278631
