SIZE,AVERAGE,BEST,WORST
966,8363,4703,4899
353,2556,1427,1591
297,2076,1167,1291
890,7581,4241,4525
70,335,205,227
650,5262,2915,3211
164,1005,572,648
360,2608,1460,1628
850,7222,3993,4333
126,724,435,445
485,3725,2121,2217
465,3549,2004,2134
917,7871,4393,4670
193,1224,706,775
299,2079,1175,1303
619,4952,2754,3031
512,3966,2304,2304
375,2751,1541,1697
263,1778,1040,1078
728,6019,3324,3660
188,1173,680,756
62,295,181,189
985,8523,4826,4985
919,7877,4405,4680
79,405,235,269
873,7432,4129,4450
382,2793,1585,1723
438,3306,1855,2013
125,717,429,443
48,214,128,144
902,7748,4313,4585
300,2084,1180,1308
994,8619,4891,5019
898,7711,4295,4559
179,1120,635,720
211,1360,779,864
811,6830,3778,4119
454,3429,1945,2083
49,218,130,149
930,8023,4473,4733
334,2387,1333,1495
623,5015,2777,3052
968,8356,4716,4908
221,1446,829,904
439,3301,1861,2017
312,2196,1236,1372
424,3189,1780,1948
539,4224,2391,2514
510,3920,2287,2301
956,8253,4640,4852
14,39,25,29
428,3217,1800,1968
532,4136,2364,2464
306,2147,1207,1341
590,4716,2613,2853
51,222,136,157
948,8187,4584,4820
238,1587,915,971
736,6087,3376,3696
806,6814,3753,4089
597,4800,2644,2899
395,2899,1639,1799
536,4149,2380,2492
330,2359,1315,1473
927,7992,4456,4717
293,2022,1151,1267
712,5886,3236,3572
987,8575,4840,4993
557,4366,2464,2639
310,2200,1225,1363
796,6664,3704,4028
307,2180,1211,1347
633,5087,2833,3106
958,8300,4655,4859
191,1196,697,766
921,7916,4417,4690
972,8431,4740,4928
739,6120,3390,3715
131,755,453,470
441,3311,1873,2025
473,3607,2049,2169
230,1520,873,941
686,5607,3091,3431
866,7403,4089,4413
298,2079,1171,1297
296,2057,1164,1284
290,2007,1141,1247
922,7920,4423,4695
647,5233,2903,3190
723,5974,3294,3635
81,418,242,278
482,3676,2105,2203
152,918,524,588
883,7545,4193,4496
91,479,279,321
479,3643,2088,2190
247,1653,965,1002
722,5950,3289,3629
162,1001,565,637
13,34,22,27
86,457,259,301
832,7049,3904,4224
146,873,501,557
885,7558,4206,4505
603,4829,2674,2935
425,3190,1784,1954
328,2328,1308,1460
43,181,108,129
398,2953,1653,1815
687,5607,3097,3436
632,5112,2828,3100
870,7419,4111,4435
784,6546,3648,3952
598,4760,2649,2905
201,1277,735,818
69,340,202,222
829,7020,3882,4213
127,719,441,447
373,2730,1529,1689
680,5551,3060,3396
399,2963,1658,1820
75,382,220,252
651,5287,2919,3218
856,7292,4028,4364
684,5574,3080,3420
271,1868,1067,1131
964,8325,4692,4888
456,3453,1956,2092
289,1999,1138,1240
716,5893,3256,3596
634,5124,2839,3111
351,2535,1417,1581
331,2367,1319,1479
995,8700,4897,5024
787,6619,3659,3974
45,190,115,136
926,7918,4449,4713
763,6335,3544,3825
151,913,519,584
761,6325,3530,3817
887,7551,4220,4513
993,8639,4885,5014
405,3020,1684,1854
270,1850,1063,1125
857,7303,4033,4370
303,2123,1194,1324
20,63,40,48
105,579,335,377
284,1956,1116,1212
967,8390,4709,4904
878,7511,4161,4473
411,3077,1714,1884
200,1281,732,812
905,7722,4328,4603
67,325,197,211
791,6621,3678,3999
775,6457,3607,3894
846,7148,3971,4311
343,2463,1374,1544
499,3856,2209,2269
141,839,483,530
954,8230,4625,4845
693,5695,3129,3470
8,15,12,12
265,1801,1046,1092
726,5987,3311,3651
122,692,413,435
540,4216,2396,2520
288,1998,1136,1232
939,8149,4525,4780
272,1868,1072,1136
38,161,93,109
546,4269,2421,2561
820,6919,3828,4168
578,4570,2565,2769
235,1561,898,961
183,1147,654,737
209,1358,771,854
553,4329,2447,2612
626,5048,2793,3069
199,1273,727,808
851,7205,3998,4339
748,6208,3444,3760
758,6320,3509,3805
17,47,33,37
880,7525,4176,4480
415,3111,1737,1901
810,6824,3773,4113
266,1792,1049,1099
37,153,90,105
491,3766,2157,2241
393,2900,1631,1787
