SIZE,AVERAGE,BEST,WORST
518,5183,17821,133903
154,1052,2053,11781
685,7280,30145,234270
107,750,1166,5671
227,1723,4434,25651
779,7653,39140,303031
882,8905,46531,388521
23,78,89,253
890,10569,47049,395605
751,7839,34623,281625
299,2464,6628,44551
133,956,1708,8778
536,4659,18095,143380
893,9161,47605,398278
567,5417,21103,160461
432,3990,13109,93096
782,8195,39601,305371
367,3443,10348,67161
130,867,1722,8385
462,4227,15792,106491
709,8627,32823,250986
21,126,77,210
898,8835,48491,402753
437,3816,13537,95266
373,3606,9927,69378
237,1667,5040,27966
492,4516,17026,120786
641,7260,27039,205120
349,2979,8773,60726
281,2151,5961,39340
591,5516,22652,174345
800,7629,42138,319600
157,1292,2123,12246
826,9714,44164,340725
729,7868,35781,265356
834,8113,45247,347361
684,6464,30060,233586
867,9220,46478,375411
232,2067,4744,26796
611,6004,23611,186355
735,8194,36195,269745
798,8415,41994,318003
151,1173,1948,11325
766,8060,37320,292995
503,5250,17074,126253
449,4711,14155,100576
174,1222,2572,15051
569,5442,21366,161596
378,3219,10252,71253
698,7123,30629,243253
24,86,93,276
770,8449,37467,296065
148,1064,1839,10878
655,7004,28408,214185
895,9033,47812,400065
214,1542,3817,22791
861,8970,45544,370230
705,7124,31661,248160
195,1536,3183,18915
874,9770,46795,381501
105,645,1120,5460
255,2256,5260,32385
114,698,1346,6441
730,8269,35816,266085
315,2415,7348,49455
519,5600,17920,134421
399,3959,11876,79401
846,7845,44985,357435
219,2073,4038,23871
644,6212,27353,207046
80,498,653,3160
646,6772,27446,208335
173,1264,2551,14878
245,2160,5108,29890
550,5419,19064,150975
364,3679,10214,66066
574,5626,21476,164451
207,1577,3635,21321
44,218,254,946
12,32,28,66
407,3477,12398,82621
818,9011,43698,334153
667,7171,27458,222111
448,4419,13933,100128
386,3349,10710,74305
156,1215,2105,12090
403,3697,12222,81003
482,4596,17311,115921
284,2693,6099,40186
524,5339,17694,137026
505,4823,17121,127260
632,6357,25979,199396
361,3127,10034,64980
1,0,0,0
683,6524,30035,232903
307,2545,7003,46971
377,3328,10184,70876
381,3391,10587,72390
878,8544,46341,385003
815,9015,43634,331705
571,5897,21475,162735
762,8391,37042,289941
287,2545,6285,41041
607,5461,22972,183921
558,6501,20256,155403
246,1958,5118,30135
544,5304,18975,147696
306,2468,6911,46665
348,2959,8650,60378
338,2963,8534,56953
648,6442,27652,209628
368,3013,10359,67528
357,3280,9598,63546
248,2019,5192,30628
325,3025,7862,52650
379,3728,10337,71631
316,2874,7368,49770
99,586,976,4851
785,8814,40105,307720
193,1499,3110,18528
200,1785,3363,19900
412,4295,12542,84666
278,2412,5761,38503
767,7237,37451,293761
351,2764,8871,61425
433,3859,13312,93528
885,10413,46706,391170
95,676,928,4465
620,5763,24855,191890
365,3344,10248,66430
576,6130,21574,165600
218,1643,4004,23653
167,1141,2462,13861
155,1209,2094,11935
481,4684,17300,115440
814,8504,43499,330891
485,4801,17143,117370
847,8193,45082,358281
617,6483,24453,190036
297,2807,6563,43956
260,1941,5469,33670
188,1369,2974,17578
783,8737,39720,306153
565,5318,20946,159330
317,2922,7401,50086
78,511,629,3003
771,8795,37727,296835
422,4031,12955,88831
277,2170,5719,38226
242,1821,5158,29161
596,5998,23083,177310
700,7513,30716,244650
711,7563,33165,252405
554,5217,19580,153181
498,4782,16847,123753
360,3780,9746,64620
46,194,280,1035
63,401,485,1953
61,305,458,1830
67,384,545,2211
827,8201,44279,341551
801,9132,42532,320400
530,5019,17383,140185
819,8368,43790,334971
532,5453,17557,141246
673,6649,28380,226128
579,5852,21364,167331
788,8537,40620,310078
714,7570,34059,254541
561,5323,20616,157080
880,9167,46482,386760
578,5573,21175,166753
886,8760,46766,392055
131,1071,1718,8515
604,6050,22919,182106
695,7885,30185,241165
792,8302,41204,313236
531,4989,17583,140715
347,3419,8628,60031
454,4013,15030,102831
235,2145,5046,27495
62,368,469,1891
389,3474,11015,75466
773,8005,38059,298378
136,1006,1756,9180
8,16,14,28
627,6604,25666,196251
594,5487,23067,176121
894,9480,47680,399171
777,8723,38748,301476
145,1009,1812,10440
58,363,424,1653
320,3021,7504,51040
670,6874,27931,224115
293,3009,6307,42778
864,9088,45770,372816
679,6763,29567,230181
840,9330,45156,352380
843,8932,44847,354903
331,2655,8158,54615
32,125,148,496
288,2902,6294,41328
302,2579,6635,45451
49,287,303,1176
413,3757,12582,85078
745,7870,34723,277140
257,1996,5396,32896
81,434,692,3240
639,5965,26711,203841
42,249,237,861
583,5960,21671,169653
871,8662,46682,378885
891,9534,47265,396495
25,113,96,300
590,5519,22559,173755
517,4641,17846,133386
202,1734,3502,20301
797,8029,41923,317206
60,343,448,1770
804,8105,42906,322806
356,3193,9351,63190
694,7186,30068,240471
273,2085,5570,37128
744,7502,35264,276396
74,444,561,2701
618,6456,24572,190653
280,2765,5838,39060
528,6374,17702,139128
703,6679,31303,246753
370,3653,10160,68265
22,80,82,231
831,9084,44619,344865
727,7766,35726,263901
153,1128,2024,11628
85,565,775,3570
304,2486,6702,46056
566,5805,21011,159895
712,7270,33208,253116
335,2945,8288,55945
89,597,854,3916
496,5005,17124,122760
884,9150,46647,390286
106,709,1144,5565
623,6818,25543,193753
575,5717,21564,165025
488,4519,17220,118828
589,5483,22482,173166
182,1309,2957,16471
43,214,248,903
27,94,110,351
740,8784,35469,273430
491,4612,17015,120295
587,6158,22211,171991
588,5772,22259,172578
716,7154,34218,255970
409,3597,12440,83436
624,7229,25556,194376
442,4156,13682,97461
77,427,619,2926
474,4636,16801,112101
400,3648,11883,79800
784,8472,39727,306936
446,4758,13850,99235
445,4943,13808,98790
849,8677,44760,359976
326,2742,7895,52975
514,5010,18005,131841
707,7296,32211,249571
630,5893,25781,198135
817,8540,43677,333336
250,2003,5101,31125
635,5952,26287,201295
410,4172,12461,83845
228,1875,4462,25878
538,4980,18694,144453
533,5285,17928,141778
359,3407,9725,64261
310,2891,7193,47895
476,4588,16969,113050
436,3753,13503,94830
285,2593,6199,40470
187,1515,2957,17391
262,2054,5397,34191
859,9325,45227,368511
382,3151,10626,72771
738,7421,35732,271953
636,5879,26322,201930
358,3326,9668,63903
556,5199,19847,154290
186,1517,2940,17205
70,403,557,2415
852,9253,44682,362526
548,5050,18754,149878
276,2261,5609,37950
879,9028,46464,385881
875,8943,46654,382375
601,6594,22858,180300
231,1743,4729,26565
309,2593,7151,47586
718,6979,34333,257403
830,8471,44486,344035
296,2583,6431,43660
225,1768,4262,25200
244,2200,5160,29646
469,4412,16831,109746
101,595,1025,5050
72,384,582,2556
2,1,1,1
701,7473,31127,245350
329,2585,8144,53956
215,1800,3854,23005
761,7581,36813,289180
115,739,1397,6555
30,114,133,435
166,1137,2436,13695
832,9332,44628,345696
363,3019,10194,65703
658,6160,28882,216153
394,3700,11455,77421
540,4949,18788,145530
189,1404,3041,17766
726,7373,35708,263175
330,2910,8206,54285
371,3401,10102,68635
821,9332,43871,336610
756,7889,35523,285390
606,6724,22881,183315
236,1941,5065,27730
900,9853,49106,404550
13,30,31,78
104,689,1071,5356
764,7936,37181,291466
343,2965,8824,58653
340,2726,8692,57630
497,4452,16923,123256
535,5127,18087,142845
79,583,647,3081
723,8529,35495,261003
621,6263,25379,192510
259,2253,5435,33411
513,4738,17876,131328
637,6759,26542,202566
140,1076,1759,9730
198,1921,3308,19503
883,8735,46621,389403
546,5376,18620,148785
616,6213,24181,189420
758,7586,36072,286903
665,7105,27371,220780
899,10461,48994,403651
420,3636,13045,87990
824,7895,44083,339076
860,9661,45266,369370
490,5193,16995,119805
179,1236,2810,15931
111,745,1258,6105
194,1740,3114,18721
383,3419,10695,73153
666,6775,27398,221445
545,5271,18729,148240
708,7799,32297,250278
668,6956,27486,222778
562,5560,20740,157641
165,1131,2415,13530
837,8959,45018,349866
559,5287,20340,155961
452,3920,14569,101926
888,10495,46966,393828
896,9401,47822,400960
809,8978,43199,326836
881,9250,46506,387640
109,758,1219,5886
387,3274,10844,74691
337,2897,8459,56616
190,1439,3062,17955
645,6784,27399,207690
11,28,25,55
29,107,127,406
163,1205,2333,13203
828,8976,44321,342378
622,6113,25439,193131
366,3253,10283,66795
582,5651,21646,169071
799,9067,42130,318801
715,7413,34147,255255
212,1632,3825,22366
456,4450,15163,103740
793,8657,41550,314028
675,6956,28855,227475
147,1098,1839,10731
419,3715,12994,87571
96,648,934,4560
580,6169,21310,167910
640,6839,26720,204480
725,7452,35656,262450
118,785,1504,6903
704,6717,31313,247456
822,8972,43931,337431
515,4998,17935,132355
759,8567,36182,287661
647,5986,27610,208981
453,4993,14912,102378
350,3545,8810,61075
696,6836,30208,241860
612,5782,23679,186966
459,4212,15753,105111
196,1391,3188,19110
102,648,1045,5151
164,1106,2354,13366
450,4473,14266,101025
657,6542,28738,215496
486,4346,17134,117855
143,1064,1860,10153
84,505,743,3486
772,8541,37732,297606
35,146,182,595
470,4370,16867,110215
208,1486,3642,21528
525,5000,17586,137550
529,5456,17476,139656
720,7827,34476,258840
175,1225,2608,15225
539,5346,18755,144991
873,9094,46760,380628
440,3907,13633,96580
790,8840,41050,311655
66,362,540,2145
889,9188,47007,394716
249,1906,5115,30876
605,6055,22824,182710
282,2683,6015,39621
869,8913,46627,377146
170,1252,2581,14365
56,302,385,1540
342,3259,8739,58311
748,7523,34570,279378
405,3637,12299,81810
862,8773,45608,371091
845,8962,44920,356590
183,1368,2991,16653
742,8222,34984,274911
124,853,1588,7626
321,3063,7663,51360
398,3626,11806,79003
521,5774,17756,135460
794,8690,41699,314821
848,8443,45109,359128
484,4633,17274,116886
577,5289,21302,166176
270,2105,5627,36315
733,8581,36013,268278
256,2081,5268,32640
119,855,1538,7021
31,138,143,465
557,5602,20190,154846
719,7403,34454,258121
251,2236,5139,31375
39,153,203,741
197,1454,3272,19306
835,8930,45150,348195
458,4599,15722,104653
549,5021,18977,150426
495,4873,17110,122265
642,6272,27199,205761
823,9162,44060,338253
746,7170,34555,277885
475,4361,16933,112575
308,2631,7033,47278
86,609,787,3655
841,8569,44848,353220
435,3824,13460,94395
185,1545,2947,17020
319,2648,7496,50721
305,2724,6844,46360
522,4864,17688,135981
547,5160,18794,149331
327,2978,7979,53301
763,9260,37141,290703
724,7368,35605,261726
736,7014,36207,270480
810,7640,43231,327645
229,1616,4627,26106
354,3125,9137,62481
390,3374,11085,75855
19,60,64,171
427,3781,12933,90951
850,8876,44624,360825
52,243,331,1326
272,2191,5680,36856
222,2071,4103,24531
404,3384,12268,81406
168,1247,2474,14028
543,5332,18962,147153
36,135,188,630
223,1955,4144,24753
425,3723,12908,90100
502,5019,16968,125751
743,9013,35269,275653
45,268,272,990
555,5338,19804,153735
870,9393,46680,378015
213,1837,3794,22578
747,8371,34551,278631
94,725,908,4371
252,2055,5157,31626
573,5840,21419,163878
603,5513,22888,181503
820,8757,43812,335790
120,895,1546,7140
693,7011,29974,239778
564,5418,20882,158766
812,7826,43364,329266
26,133,100,325
169,1228,2548,14196
117,745,1486,6786
652,7274,27943,212226
87,525,807,3741
401,4069,12077,80200
121,783,1556,7260
760,7083,36205,288420
609,5920,23278,185136
224,1588,4152,24976
416,3425,12713,86320
132,1130,1736,8646
595,5464,23023,176715
710,6803,32996,251695
254,2184,5214,32131
146,913,1793,10585
471,4592,16948,110685
112,692,1265,6216
10,25,21,45
626,6273,25593,195625
258,2539,5461,33153
755,8225,35454,284635
669,7392,27875,223446
682,6838,29649,232221
473,4651,16825,111628
353,3258,9052,62128
676,6513,28931,228150
593,7511,22934,175528
613,6048,23924,187578
434,3930,13408,93961
465,4194,16307,107880
781,9301,39503,304590
234,1970,5011,27261
466,3962,16499,108345
424,3940,13045,89676
369,3451,10213,67896
275,2215,5615,37675
295,2551,6430,43365
3,2,2,3
314,2905,7301,49141
265,2092,5345,34980
376,3499,10023,70500
264,2251,5439,34716
643,6910,27272,206403
263,1995,5420,34453
41,201,227,820
656,6316,28431,214840
161,1115,2261,12880
553,5249,19469,152628
478,4544,17195,114003
138,917,1707,9453
634,6513,26046,200661
722,7703,35413,260281
858,9693,45025,367653
731,7385,35912,266815
38,159,194,703
54,271,365,1431
393,3533,11370,77028
649,6223,27684,210276
661,6361,27395,218130
753,7489,34991,283128
687,7155,30371,235641
560,5337,20353,156520
211,1771,3800,22155
428,4312,12957,91378
160,1292,2182,12720
191,1373,3100,18145
520,5762,17955,134940
887,9031,46939,392941
808,9183,43168,326028
732,7450,35948,267546
291,2626,6206,42195
460,4390,15806,105570
663,7586,27322,219453
581,5481,21550,168490
769,7631,37463,295296
76,477,591,2850
129,1081,1689,8256
346,3018,8535,59685
301,2453,6605,45150
757,8481,35986,286146
135,921,1745,9045
780,7867,39211,303810
508,5274,17308,128778
180,1311,2830,16110
674,7162,28539,226801
16,49,44,120
599,6424,23030,179101
523,5227,17696,136503
