SIZE,AVERAGE,BEST,WORST
140,732,827,641
474,3353,3627,3002
317,2029,2260,1814
150,830,905,700
699,5307,5776,4789
489,3436,3758,3086
703,5335,5818,4831
135,710,786,619
239,1439,1592,1295
744,5699,6219,5149
188,1082,1195,943
766,5934,6429,5362
115,577,644,501
362,2413,2649,2144
721,5539,5994,4976
975,7855,8470,7135
468,3277,3573,2945
942,7578,8139,6884
352,2337,2553,2075
582,4262,4643,3842
899,7140,7722,6493
523,3743,4064,3373
59,233,272,205
524,3707,4073,3359
574,4189,4557,3784
109,526,602,468
30,94,107,78
641,4780,5212,4326
289,1841,2000,1610
180,1017,1135,883
541,3894,4250,3524
186,1053,1183,926
102,487,557,428
440,3014,3323,2725
292,1846,2039,1659
455,3181,3458,2827
990,8000,8609,7292
28,82,97,69
535,3865,4188,3445
369,2464,2702,2200
473,3319,3614,2976
794,6153,6709,5568
945,7584,8168,6918
577,4202,4594,3780
788,6093,6655,5503
807,6297,6828,5693
696,5244,5749,4761
313,2015,2216,1788
285,1793,1972,1582
441,3061,3332,2714
922,7364,7943,6682
344,2261,2479,2011
35,120,134,97
549,3947,4312,3586
298,1910,2087,1684
206,1220,1335,1056
819,6388,6936,5783
732,5641,6097,5075
453,3169,3442,2830
700,5344,5789,4799
481,3409,3680,3024
170,939,1059,820
780,6055,6571,5457
602,4428,4837,4002
160,890,977,769
406,2753,3035,2486
4,5,5,1
946,7580,8179,6890
85,395,440,330
381,2550,2818,2288
66,275,315,240
684,5172,5633,4673
196,1157,1257,989
868,6844,7423,6221
49,190,214,152
612,4497,4937,4063
814,6338,6899,5762
104,509,565,439
407,2743,3042,2473
418,2874,3139,2558
365,2432,2678,2164
567,4110,4488,3725
161,883,982,764
483,3392,3704,3049
967,7763,8386,7053
698,5294,5767,4776
892,7114,7657,6425
34,116,129,92
153,839,920,724
318,2046,2269,1834
129,662,732,576
594,4363,4751,3946
598,4395,4803,3964
93,439,494,374
101,476,548,416
256,1575,1717,1387
270,1658,1841,1484
12,24,29,17
786,6115,6629,5488
80,362,407,307
938,7459,8101,6822
189,1088,1202,954
993,7969,8636,7308
853,6709,7276,6110
871,6867,7448,6241
232,1395,1535,1239
791,6138,6686,5553
291,1847,2024,1631
706,5340,5851,4836
704,5345,5827,4831
64,262,299,225
929,7409,8012,6770
618,4541,4985,4128
770,5961,6477,5358
388,2625,2875,2327
816,6391,6909,5761
923,7331,7952,6675
583,4259,4650,3845
203,1170,1310,1041
845,6627,7202,6088
930,7388,8023,6750
353,2332,2558,2068
934,7503,8067,6778
957,7655,8286,7066
413,2790,3092,2512
729,5544,6066,5044
550,3970,4333,3590
273,1685,1866,1498
25,77,84,56
996,8052,8665,7331
166,931,1029,798
906,7211,7793,6544
710,5403,5889,4886
120,620,667,525
685,5176,5648,4706
962,7738,8337,7024
676,5158,5553,4589
426,2928,3207,2636
912,7269,7849,6589
543,3897,4264,3531
656,4938,5355,4423
809,6302,6832,5728
238,1450,1583,1256
603,4433,4838,4009
851,6684,7260,6079
301,1901,2120,1698
458,3179,3483,2876
547,3905,4292,3567
500,3520,3855,3177
613,4543,4940,4110
707,5400,5860,4857
123,627,698,539
941,7530,8138,6922
400,2727,2973,2423
609,4476,4904,4058
92,425,485,375
908,7222,7809,6571
275,1721,1886,1519
827,6499,7016,5853
114,579,637,500
901,7141,7748,6554
624,4676,5045,4167
90,424,477,362
544,3903,4261,3521
965,7783,8366,7072
15,32,38,25
974,7854,8455,7142
470,3271,3595,2978
518,3673,4017,3352
438,3007,3315,2724
342,2236,2481,1994
246,1481,1647,1312
646,4834,5271,4352
11,18,24,13
183,1033,1156,927
714,5446,5927,4900
281,1751,1936,1562
657,4917,5368,4444
782,6071,6593,5492
371,2498,2730,2195
405,2758,3024,2450
679,5118,5582,4627
482,3406,3697,3050
958,7680,8297,7008
532,3825,4157,3427
793,6154,6674,5584
373,2514,2750,2232
341,2238,2468,1980
896,7110,7697,6445
99,471,538,401
3,1,2,1
13,28,32,22
332,2166,2387,1927
911,7218,7844,6603
173,971,1078,840
642,4790,5229,4308
84,374,433,327
601,4428,4814,3974
761,5883,6382,5332
838,6566,7133,5932
982,7900,8537,7164
801,6243,6770,5654
512,3630,3953,3261
469,3263,3586,2954
823,6434,6982,5817
836,6558,7111,5943
650,4861,5305,4356
626,4658,5063,4188
858,6777,7321,6124
202,1183,1303,1024
973,7806,8446,7202
32,103,115,81
248,1506,1653,1327
834,6533,7091,5924
147,784,880,681
671,5073,5512,4555
262,1621,1777,1426
264,1625,1783,1443
855,6718,7298,6111
19,46,56,39
75,333,376,279
904,7195,7757,6519
125,646,710,550
445,3074,3376,2758
686,5225,5653,4700
916,7270,7889,6657
950,7613,8223,6922
631,4675,5112,4227
442,3054,3349,2740
924,7366,7957,6711
443,3067,3354,2737
568,4158,4487,3725
562,4113,4441,3696
534,3821,4181,3458
586,4301,4683,3878
815,6366,6910,5765
253,1530,1698,1368
505,3599,3896,3216
623,4630,5046,4179
610,4523,4915,4064
774,6043,6509,5396
783,6043,6608,5487
693,5216,5722,4778
425,2923,3192,2618
336,2223,2417,1957
673,5112,5520,4584
122,634,693,534
559,4081,4420,3673
760,5850,6375,5279
708,5390,5869,4871
359,2358,2628,2109
243,1486,1620,1299
112,564,619,487
392,2673,2907,2357
154,832,937,724
227,1346,1498,1193
199,1117,1282,1015
476,3337,3645,3001
999,8068,8696,7315
585,4295,4656,3854
315,2028,2236,1809
461,3264,3516,2888
384,2598,2827,2303
42,153,173,130
